Popularity,Anime,Genre,Rating,Seasons
1,Attack on Titan,Action; Drama; Fantasy,8.5,4
2,Death Note,Mystery; Police; Psychological; Supernatural; Thriller,8.6,1
3,Fullmetal Alchemist,"Brotherhood,Action; Adventure; Drama; Fantasy",9.1,1
4,One Punch Man,Action; Comedy; Supernatural,8.5,2
5,Sword Art Online,Action; Adventure; Fantasy; Romance,7.2,3
6,My Hero Academia,Action; Comedy; School;,7.9,6
7,Demon Slayer,Action; Fantasy,8.6,3
8,Naruto,Action; Adventure; Comedy,7.9,5
9,Tokyo Ghoul,Action; Drama; Horror; Supernatural,7.8,2
10,Hunter x Hunter,Action; Adventure; Fantasy,9,6